Ecosystem Grouping,Habitat ,Conservation action needed,Avoid negative impacts,Watching brief only,Annex 1 habitats,Relative extent,Significant decline / unfavourable condition,H1 - on UKBAP list,H2 - Rare habitat ,H3 - important for supporting species,H4 - Unique to Scotland,,,
Freshwater & Wetland,Eutrophic standing waters,Yes,Yes,-,> Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Freshwater & Wetland,Lowland fens,Yes,-,-,>> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Freshwater & Wetland,Lowland raised bog,Yes,Yes,-,@ Annex 1,* * * *,Yes,Yes,-,-,-,,,
Freshwater & Wetland,Mesotrophic lakes,Yes,Yes,-,> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Freshwater & Wetland,Oligotrophic and dystrophic lakes ,-,Yes,-,> Annex 1,* * *,-,Yes,-,-,-,,,
Freshwater & Wetland,Ponds,Yes,-,-,>> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Freshwater & Wetland,Reedbeds,-,-,Yes,-,* *,-,Yes,-,-,-,,,
Freshwater & Wetland,Rivers,Yes,-,-,>> Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Lowland ,Arable Field Margins  ,Yes,-,-,-,* * *,Yes,Yes,-,Yes,-,,,
Lowland ,Hedgerows,-,-,Yes,-,* * * *,-,Yes,-,Yes,-,,,
Lowland ,Lowland calcareous grassland,Yes,Yes,-,= Annex 1,* *,Yes,Yes,-,Yes,-,,,
Lowland ,Lowland dry acid grassland,Yes,-,-,-,* * *,Yes,Yes,-,-,-,,,
Lowland ,Lowland Heathland ,Yes,Yes,-,@ Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Lowland ,Lowland meadows,Yes,-,-,-,* *,Yes,Yes,-,Yes,-,,,
Lowland ,Open mosaic habitats on previously developed land,-,-,Yes,-,* * *,-,Yes,-,-,-,,,
Lowland ,Purple moor-grass & rush pastures,Yes,-,-,>> Annex 1,* * *,Yes,Yes,-,-,-,,,
Lowland ,Traditional orchards,-,-,Yes,-,* *,-,Yes,-,-,-,,,
Lowland ,Upland hay meadows,Yes,Yes,-,= Annex 1,*,Yes,Yes,-,-,-,,,
Woodland,Lowland mixed deciduous woodland,Yes,-,-,-,* * * *,Yes,Yes,-,Yes,-,,,
Woodland,Native pine woodlands,Yes,Yes,-,= Annex 1,* * * * *,Yes,Yes,-,Yes,Yes,,,
Woodland,Upland birchwoods,Yes,-,-,>> Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Woodland,Upland mixed ashwoods,Yes,Yes,-,> Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Woodland,Upland oakwood,Yes,Yes,-,= Annex 1,* * * *,Yes,Yes,-,Yes,-,,,
Woodland,Wet woodland,Yes,Yes,-,@ Annex 1,* * * *,Yes,Yes,-,-,-,,,
Woodland,Wood Pasture and Parkland ,Yes,-,-,>> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Upland,Blanket bog,Yes,Yes,-,@ Annex 1,* * * * * *,Yes,Yes,-,Yes,-,,,
Upland,Calaminarian grasslands,-,Yes,-,= Annex 1,* *,-,Yes,Yes,-,-,,,
Upland,Inland Rock Outcrop and Scree Habitats,-,Yes,-,> Annex 1,* * * *,-,Yes,-,Yes,-,,,
Upland,Limestone Pavements,Yes,Yes,-,= Annex 1,*,Yes,Yes,Yes,-,-,,,
Upland,Mountain heaths and willow scrub,Yes,Yes,-,> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Upland,Upland calcareous grassland,Yes,Yes,-,> Annex 1,* * *,Yes,Yes,-,Yes,-,,,
Upland,"Upland flushes, fens and swamps",-,-,Yes,>> Annex 1,* * * *,-,Yes,-,Yes,-,,,
Upland,Upland heathland,Yes,Yes,-,@ Annex 1,* * * * *,Yes,Yes,-,Yes,-,,,
Upland,Juncus squarrosus-Festuca ovina grassland,-,-,Yes,-,* * * *,-,-,-,Yes,-,,,
Upland,Nardus stricta-Galium saxatile grassland,-,-,Yes,-,* * * *,-,-,-,Yes,-,,,