Location/Nearest sampling ID,Date,Taxon,organism_number,Notes,plot
s2birds,13/09/2023,Golden eagle,2,2 spotted flying near upper transect whilst being mobbed by crows,s 
s2birds,13/09/2023,Red deer,4,Group of 7,s 
SLP1,13/09/2023,Barn Owl,1,Flying from the trees in the Southern Plot to one of the houses by the road,s 
Southern Moorland,15/09/2023,Common toad,1,,s 
PointS,14/09/2023,Carrion Crow,1,2 individuals,s 
Marsh,15/09/2023,Common Frog,1,"In the marsh, tried to catch ",s 
near s1birds,12/09/2023,Common lizard,1,,s 
Top of Northern Plot,15/09/2023,Common Frog,1,In the Heather,N
Observation made from the southeastern edge of the northern plot,14/09/2023,Golden eagle,3,2 individuals flying over towards the south eastern edge of the southern plot (eventually flew south over the hill of the southern plot),N
n1birds,13/09/2023,Red squirrel,1,2 individuals,N
n3birds,13/09/2023,Peregrine falcon,1,hunting near plot,N
n2birds,15/09/2023,Ring ouzel,1,3 individuals flew east after perching on gorse in northern plot,N